KSVN,HUNTER AAF
KSWF,STEWART INTL
KSWO,STILLWATER RGNL
KSYR,HANCOCK FIELD -  NY
KSZL,WHITEMAN AFB
KT69,ALFRED C BUBBA THOMAS
KT70,LAUGHLIN AFB AUX NR 1
KTAD,PERRY STOKES
KTBN,FORNEY AAF
KTCC,TUCUMCARI MUNI
KTCL,TUSCALOOSA RGNL
KTCM,MC CHORD AFB
KTCS,TRUTH OR CONSEQUENCES MUNI
KTFP,MC CAMPBELL PORTER
KTIK,TINKER AFB
KTIX,SPACE COAST RGNL
KTLH,TALLAHASSEE RGNL
KTNT,DADE COLLIER TRAINING AND TRANSITION
KTNX,TONOPAH TEST RANGE
KTOI,TROY MUNI
KTOL,TOLEDO EXPRESS -  OH
KTOP,PHILIP BILLARD MUNI
KTPH,TONOPAH
KTTS,NASA SHUTTLE LANDING FACILITY
KTUL,TULSA INTERNATIONAL
KTUP,TUPELO RGNL
KTUS,TUCSON ANG
KTVL,LAKE TAHOE
KTWF,JOSLIN FLD MAGIC VALLEY RGNL
KTXK,TEXARKANA RGNL WEBB FLD
KTYS,MCGHEE TYSON
KU30,TEMPLE BAR
KUNV,UNIVERSITY PARK
KUVA,GARNER FLD
KVAD,MOODY AFB
KVBG,VANDENBERG AFB
KVCT,VICTORIA RGNL
KVCV,VICTORVILLE
KVCV,SOUTHERN CALIFORNIA LOGISTICS
KVGT,NORTH LAS VEGAS
KVLD,VALDOSTA RGNL
KVOK,VOLK FIELD -  WI
KVPS,EGLIN AFB
KVQQ,CECIL FIELD NAS
KVUJ,STANLY COUNTY
KW94,CAMP PEARY LANDING STRIP
KWAL,WALLOPS FLIGHT FACILITY
KWDG,ENID WOODRING RGNL
KWJF,GENERAL WM J FOX AFLD
KWMC,WINNEMUCCA MUNI
KWRB,ROBINS AFB
KWRI,MC GUIRE AFB
KWSD,CONDRON AAF
KXMR,CAPE CANAVERAL AS SKID STRIP
KXNA,NORTHWEST ARKANSAS RGNL
KXNO,NORTH AF AUX
KYKM,McALLISTER FIELD
KYNG,YOUNGSTOWN WARREN REGIONAL -  OH
KYQQ,COMOX
KZ,AUX FIELD 6 LANDING ZONE
KZ10,PACEMAKER LANDING ZONE
KZ99,SELAH CREEK LANDING ZONE
KZER,SCHUYLKILL CO
KZZV,ZANESVILLE MUNICIPAL -  OH
LARO,LAKE ROOSEVELT
MT15,FORT HARRISON AAF
NJ24,WARREN GROVE RANGE
NV72,SWEETWATER
PABA,BARTER ISLAND LRRS
PABI,ALLEN AAF
PABM,BIG MOUNTAIN AFS
PACD,COLD BAY
PACZ,CAPE ROMANZOF LRRS
PADK,ADAK
PADM,MARSHALL DON HUNTER SR
PAED,ELMENDORF AFB
PAEH,CAPE NEWENHAM LRRS
PAEI,EIELSON AFB
PAFA,FAIRBANKS INTL
PAFB,WAINWRIGHT AAF
PAGZ,GRANITE MOUNTAIN AFS
PAIM,INDIAN MOUNTAIN LRRS
PAKK,KOYUK ALFRED ADAMS
PAKN,KING SALMON
PAKO,NIKOLSKI AS
PALU,CAPE LISBURNE LRRS
PANC,TED STEVENS ANCHORAGE INTL
PAPC,PORT CLARENCE CGS
PASV,SPARREVOHN LRRS
PATC,TIN CITY LRRS
PATL,TATALINA LRRS
PAWT,WAINWRIGHT AS
PHHI,WHEELER AAF
PHIK,HICKAM AFB
PHNG,KANEOHE BAY MCAF
PHNP,FORD ISLAND NALF
PHSF,BRADSHAW AAF
PPIZ,POINT LAY LRRS
WS20,YOUNG LANDING ZONE
Z,EDWARDS AF AUX NORTH BASE
